abbrev_my	work_pali	work_zh	kind	pcd	note
ဝိသုဒ္ဓိ	Visuddhimagga	清净道论	aṭṭhakathā	*=70,71	
အဘိ-ဋ္ဌ	Abhidhamma-aṭṭhakathā	论藏义注	aṭṭhakathā	1=102;2=103;3=104,105,106,107,108	1=殊胜义 2=迷惑冰消 3=五论义注
မဟာဋီ|မဟာဋီကာ	Visuddhimagga-mahāṭīkā	大复注 (清净道论大疏钞)	ṭīkā	*=72,73	
မူလဋီ|မူလဋီကာ	Mūlaṭīkā	根本复注	mūlaṭīkā	1=191;2=192;3=194,195,196,197,198	
မ-ဋ္ဌ	Majjhima-aṭṭhakathā	中部义注	aṭṭhakathā	*=148,149,150	Papañcasūdanī
မ	Majjhima-nikāya	中部	mūla	*=183,184,185	
သံ	Saṃyutta-nikāya	相应部	mūla	*=186,187,188,189,190	缅甸版 3 册对 WikiPali 5 品，靠页码定
သံ-ဋ္ဌ	Saṃyutta-aṭṭhakathā	相应部义注	aṭṭhakathā	*=151,152,153,154,155	Sāratthappakāsinī
အနုဋီ|အနုဋီကာ	Anuṭīkā	随复注	anuṭīkā	1=199;2=193;3=200,201,202,203,204	分别论随复注在 book 173 的后半（para 1155 起）
အဘိ	Abhidhamma-piṭaka	论藏	mūla	*=79,80,81,82,83,84,85,86,87,75,76,77,78	
အံ	Aṅguttara-nikāya	增支部	mūla	*=90,91,92,93,94,95,96,97,98,88,89	缅甸版 3 册对 WikiPali 11 集
ပဋိသမ္ဘိဒါမဂ်|ပဋိသံ	Paṭisambhidāmagga	无碍解道	mūla	*=170	
မ-ဋီ	Majjhima-ṭīkā	中部复注	ṭīkā	*=233,234,235	Līnatthappakāsanā
ဒီ-ဋ္ဌ	Dīgha-aṭṭhakathā	长部义注	aṭṭhakathā	*=120,121,122	Sumaṅgalavilāsinī
သံ-ဋီ	Saṃyutta-ṭīkā	相应部复注	ṭīkā	*=236,237,238,239,240	
ဒီ	Dīgha-nikāya	长部	mūla	*=99,100,101	
ပဋ္ဌာန	Paṭṭhāna	发趣论	mūla	*=87,75,76,77,78	
ပဋိသံ-ဋ္ဌ	Paṭisambhidāmagga-aṭṭhakathā	无碍解道义注	aṭṭhakathā	*=138	Saddhammappakāsinī
